Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DataSource,TotalAllowances,Attendance_LateCount,Attendance_AbsentCount,Attendance_HalfDayCount,Leave_TotalDaysApproved,Leave_RequestCount
41,Yes,Travel_Rarely,1102.0,Sales,1.0,2.0,Life Sciences,2.0,Female,94.0,3.0,2.0,Sales Executive,4.0,Single,5993,19479.0,8.0,Yes,11.0,3.0,1.0,0.0,8.0,0.0,1.0,6.0,4.0,0.0,5.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
49,No,Travel_Frequently,279.0,Research & Development,8.0,1.0,Life Sciences,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,5130,24907.0,1.0,No,23.0,4.0,4.0,1.0,10.0,3.0,3.0,10.0,7.0,1.0,7.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
37,Yes,Travel_Rarely,1373.0,Research & Development,2.0,2.0,Other,4.0,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,2090,2396.0,6.0,Yes,15.0,3.0,2.0,0.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
33,No,Travel_Frequently,1392.0,Research & Development,3.0,4.0,Life Sciences,4.0,Female,56.0,3.0,1.0,Research Scientist,3.0,Married,2909,23159.0,1.0,Yes,11.0,3.0,3.0,0.0,8.0,3.0,3.0,8.0,7.0,3.0,0.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
27,No,Travel_Rarely,591.0,Research & Development,2.0,1.0,Medical,1.0,Male,40.0,3.0,1.0,Laboratory Technician,2.0,Married,3468,16632.0,9.0,No,12.0,3.0,4.0,1.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
32,No,Travel_Frequently,1005.0,Research & Development,2.0,2.0,Life Sciences,4.0,Male,79.0,3.0,1.0,Laboratory Technician,4.0,Single,3068,11864.0,0.0,No,13.0,3.0,3.0,0.0,8.0,2.0,2.0,7.0,7.0,3.0,6.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
59,No,Travel_Rarely,1324.0,Research & Development,3.0,3.0,Medical,3.0,Female,81.0,4.0,1.0,Laboratory Technician,1.0,Married,2670,9964.0,4.0,Yes,20.0,4.0,1.0,3.0,12.0,3.0,2.0,1.0,0.0,0.0,0.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
30,No,Travel_Rarely,1358.0,Research & Development,24.0,1.0,Life Sciences,4.0,Male,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,2693,13335.0,1.0,No,22.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
38,No,Travel_Frequently,216.0,Research & Development,23.0,3.0,Life Sciences,4.0,Male,44.0,2.0,3.0,Manufacturing Director,3.0,Single,9526,8787.0,0.0,No,21.0,4.0,2.0,0.0,10.0,2.0,3.0,9.0,7.0,1.0,8.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
36,No,Travel_Rarely,1299.0,Research & Development,27.0,3.0,Medical,3.0,Male,94.0,3.0,2.0,Healthcare Representative,3.0,Married,5237,16577.0,6.0,No,13.0,3.0,2.0,2.0,17.0,3.0,2.0,7.0,7.0,7.0,7.0,IBM_Benchmark,0.0,0.0,0.0,0.0,0.0,0.0
