Age,Gender,Department,JobRole,TenureYears,MonthlyIncome_raw,MonthlyIncome_normalized,TotalAllowances,Attendance_LateCount,Attendance_AbsentCount,Attendance_HalfDayCount,Leave_TotalDaysApproved,Leave_RequestCount,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,Attrition,Attrition_binary,DataSource,SampleWeight
25.0,Male,HR,HR Executive,4.82,163880.06,-0.2876405227814095,14652.06,1.0,3.0,2.0,5.4,4.0,,,,Yes,1.0,Local_Synthetic,0.5
48.0,Female,Sales,Senior Account Manager,7.49,350764.42,1.2982853080092918,45960.75,1.0,0.0,0.0,9.2,4.0,,,,No,0.0,Local_Synthetic,0.5
44.0,Female,Engineering,QA Engineer,9.34,82797.84,-0.9757151541516024,7268.31,1.0,1.0,4.0,9.7,5.0,,,,Yes,1.0,Local_Synthetic,0.5
36.0,Male,Finance,Finance Controller,1.06,319503.11,1.0329976240460341,32922.92,0.0,3.0,0.0,10.7,4.0,,,,No,0.0,Local_Synthetic,0.5
36.0,Female,Sales,Sales Executive,3.59,183792.2,-0.11866342286614222,20097.96,1.0,0.0,1.0,5.9,3.0,,,,No,0.0,Local_Synthetic,0.5
51.0,Male,Finance,Finance Controller,1.8,202551.68,0.04053204915838415,10569.78,1.0,1.0,2.0,11.4,4.0,,,,No,0.0,Local_Synthetic,0.5
24.0,Female,Operations,Project Manager,5.99,397825.33,1.6976505239616404,40384.58,1.0,1.0,0.0,5.6,2.0,,,,No,0.0,Local_Synthetic,0.5
45.0,Female,Marketing,Digital Marketer,0.77,52991.19,-1.2286583975794507,4476.86,0.0,1.0,1.0,4.1,3.0,,,,No,0.0,Local_Synthetic,0.5
28.0,Male,HR,HR Manager,0.21,319301.82,1.0312894500154206,29416.64,9.0,3.0,1.0,11.9,5.0,,,,No,0.0,Local_Synthetic,0.5
25.0,Male,Engineering,QA Engineer,1.26,84406.88,-0.9620606241589615,5066.84,1.0,1.0,1.0,1.4,1.0,,,,No,0.0,Local_Synthetic,0.5
39.0,Female,Sales,Sales Executive,0.25,112836.5,-0.7208030426386892,14474.9,1.0,0.0,0.0,5.3,2.0,,,,No,0.0,Local_Synthetic,0.5
55.0,Male,Marketing,Marketing Executive,1.65,138892.82,-0.4996856043289859,20033.96,1.0,1.0,1.0,2.3,1.0,,,,Yes,1.0,Local_Synthetic,0.5
47.0,Male,Finance,Senior Accountant,1.71,218278.89,0.17399526986486732,11400.03,2.0,0.0,1.0,4.8,3.0,,,,No,0.0,Local_Synthetic,0.5
